,mag_x,mag_y,mag_z
174,-0.4830684492228952,-3.970723469767869,0
175,-0.49272742287421545,-3.9695364574151135,0
176,-0.49684928914296456,-3.9690226484461046,0
177,-0.3559953707157857,-3.9841269176607477,0
178,-0.43214448431399166,-3.9765878771475673,0
179,-0.45643418433830696,-3.9738731529035283,0
180,-0.5716353308218063,-3.9589434257837333,0
181,-0.6597256120676008,-3.9452201607492112,0
182,-0.6146513092623515,-3.952493360908033,0
183,-0.6447094119281707,-3.947701834507164,0
184,-0.5955499241699793,-3.9554165757630546,0
185,-0.5617273211353888,-3.960361399757611,0
186,-0.5507477567579889,-3.9619031927125685,0
187,-0.43005076651704255,-3.976814848370251,0
188,-0.5085623292482987,-3.96753882870345,0
189,-0.5597084238803708,-3.960647229966,0
190,-0.5063375207039664,-3.967823372471028,0
191,-0.521011062249842,-3.9659232812818366,0
192,-0.47465678356886115,-3.971737773042433,0
193,-0.5235068051981898,-3.965594611771504,0
194,-0.3849829832381695,-3.98143040911392,0
195,-0.21277368353468598,-3.994336911127438,0
196,0.05083880149913408,-3.9996769139846946,0
197,0.34949705000406744,-3.984702223760071,0
198,0.6494970619249965,-3.684702211839142,0
199,0.9494970738459254,-3.384702199918213,0
200,1.2494970857668544,-3.084702187997284,0
201,1.4748814552593852,-2.8591437282385255,0
202,1.7748814671803141,-2.5591437163175965,0
203,2.074881479101243,-2.2591437043966676,0
204,2.3364095538426066,-1.965384060365143,0
205,2.5408375709820414,-1.665384048444214,0
206,2.6031182705927516,-1.365384036523285,0
207,2.658925864802661,-1.065384024602356,0
208,2.735823269890609,-0.7653840126814271,0
209,2.6409947387445594,-0.46538400076049813,0
210,2.4814638308752204,-0.1933193745436097,0
211,2.481071513074205,0.0620156285939788,0
212,2.4438786543186164,0.36201564051490775,0
213,2.192998830157087,0.6535487530408477,0
214,1.9772429353769279,0.9085952398954009,0
215,1.677242923455999,0.6514929292378997,0
216,1.3992649502332664,0.4274661151347732,0
217,1.0992649383123374,0.13746844806056968,0
218,0.7992649263914084,-0.16253156386035927,0
219,0.5278511530931449,-0.3118647130550767,0
220,0.24222053952769995,-0.5908154936851884,0
221,-0.057779472393229,-0.8908155056061173,0
222,-0.26517971984787225,-1.0982167961420441,0
223,-0.48773614696903467,-1.320773327571335,0
224,-0.7805971913759255,-1.6136344911875153,0
225,-1.0389244966928506,-1.8719618561090852,0
226,-1.3050543778364205,-2.1380918564619447,0
227,-1.5388128124897027,-2.3718553575100327,0
228,-1.8388128244106317,-2.6718553694309617,0
229,-1.7476975434247994,-2.9718553813518906,0
230,-1.4476975315038705,-3.2224610539497758,0
231,-1.1684145145837808,-3.5224610658707047,0
232,-1.3082001471653188,-3.7800280918210967,0
233,-1.4847155941997552,-3.7142454959708937,0
234,-1.1585223063827326,-3.828554043710711,0
235,-0.996955700559079,-3.8737681049751487,0
236,-1.1331309577606696,-3.836145752257647,0
237,-0.8156271219988718,-3.9159612354899327,0
238,-0.6325966744303382,-3.949660928168351,0
239,-0.6554087312629291,-3.9459396086337053,0
240,-0.4862749378077225,-3.9703320622915275,0
241,-0.6154034017360783,-3.952376329897201,0
242,-0.4639335505064558,-3.973004613729321,0
243,-0.48020484914595707,-3.9710708005343736,0
244,-0.4177675929556773,-3.9781239596417834,0
245,-0.4353424470337845,-3.9762390463616035,0
246,-0.450213970982546,-3.9745826674422218,0
